2026-01-31 02:03:49,059 | INFO | User:36 | Endpoint: login | Method: POST | Status: 302 | Duration: 1.5015s
2026-01-31 02:03:49,493 | INFO | User:36 | Endpoint: dashboard | Method: GET | Status: 302 | Duration: 0.2497s
2026-01-31 02:03:50,413 | INFO | User:36 | Endpoint: talent_conduct_test | Method: GET | Status: 200 | Duration: 0.4530s
2026-01-31 02:04:11,477 | INFO | User:36 | Endpoint: None | Method: GET | Status: 404 | Duration: 0.2303s
2026-01-31 02:09:41,459 | INFO | User:36 | Endpoint: login | Method: GET | Status: 200 | Duration: 0.5538s
2026-01-31 02:09:57,025 | INFO | User:36 | Endpoint: login | Method: POST | Status: 302 | Duration: 0.6978s
2026-01-31 02:09:57,720 | INFO | User:36 | Endpoint: dashboard | Method: GET | Status: 302 | Duration: 0.5372s
2026-01-31 02:09:58,412 | INFO | User:36 | Endpoint: talent_conduct_test | Method: GET | Status: 200 | Duration: 0.4572s
2026-01-31 02:24:14,927 | INFO | User:36 | Endpoint: login | Method: GET | Status: 200 | Duration: 0.8129s
2026-01-31 02:24:21,417 | INFO | User:36 | Endpoint: login | Method: POST | Status: 302 | Duration: 0.6835s
2026-01-31 02:24:21,835 | INFO | User:36 | Endpoint: dashboard | Method: GET | Status: 302 | Duration: 0.2636s
2026-01-31 02:24:23,125 | INFO | User:36 | Endpoint: talent_conduct_test | Method: GET | Status: 200 | Duration: 0.8289s
2026-01-31 02:24:33,534 | INFO | User:36 | Endpoint: talent_conduct_test | Method: GET | Status: 200 | Duration: 1.9652s
2026-01-31 02:26:04,076 | INFO | User:36 | Endpoint: talent_conduct_test | Method: POST | Status: 302 | Duration: 1.8020s
2026-01-31 02:26:05,300 | INFO | User:36 | Endpoint: talent_conduct_test | Method: GET | Status: 200 | Duration: 1.1421s
2026-01-31 13:30:42,002 | INFO | User:Guest | Endpoint: index | Method: GET | Status: 302 | Duration: 0.0010s
2026-01-31 13:30:42,295 | INFO | User:Guest | Endpoint: login | Method: GET | Status: 200 | Duration: 0.0632s
2026-01-31 13:30:44,142 | INFO | User:Guest | Endpoint: None | Method: GET | Status: 404 | Duration: 0.0000s
2026-01-31 13:32:31,719 | INFO | User:36 | Endpoint: login | Method: GET | Status: 200 | Duration: 1.5627s
2026-01-31 13:32:45,396 | INFO | User:102 | Endpoint: login | Method: POST | Status: 302 | Duration: 0.9909s
2026-01-31 13:32:45,909 | INFO | User:102 | Endpoint: dashboard | Method: GET | Status: 302 | Duration: 0.2258s
2026-01-31 13:32:46,800 | INFO | User:102 | Endpoint: recruiter_dashboard | Method: GET | Status: 200 | Duration: 0.7217s
2026-01-31 13:38:00,104 | INFO | User:102 | Endpoint: recruiter_workbench | Method: GET | Status: 200 | Duration: 1.1318s
2026-01-31 13:38:04,023 | INFO | User:102 | Endpoint: recruiter_scheduling | Method: GET | Status: 200 | Duration: 1.2337s
2026-01-31 13:38:05,293 | INFO | User:102 | Endpoint: recruiter_interviews_notify | Method: GET | Status: 200 | Duration: 0.3818s
2026-01-31 13:38:37,452 | INFO | User:102 | Endpoint: None | Method: GET | Status: 404 | Duration: 0.5332s
2026-01-31 14:12:36,159 | INFO | User:102 | Endpoint: recruiter_interviews_notify | Method: GET | Status: 200 | Duration: 1.1054s
2026-02-01 11:09:43,370 | INFO | User:102 | Endpoint: login | Method: GET | Status: 200 | Duration: 0.5737s
2026-02-01 11:09:44,238 | INFO | User:102 | Endpoint: None | Method: GET | Status: 404 | Duration: 0.5087s
2026-02-01 12:10:40,111 | INFO | User:102 | Endpoint: login | Method: GET | Status: 200 | Duration: 1.1912s
2026-02-01 12:11:49,546 | INFO | User:264 | Endpoint: login | Method: POST | Status: 302 | Duration: 0.9568s
2026-02-01 12:11:50,038 | INFO | User:264 | Endpoint: dashboard | Method: GET | Status: 302 | Duration: 0.2177s
2026-02-01 12:18:59,872 | INFO | User:264 | Endpoint: recruiter_dashboard | Method: GET | Status: 200 | Duration: 1.0238s
2026-02-01 14:33:28,574 | INFO | User:264 | Endpoint: login | Method: POST | Status: 200 | Duration: 0.7167s
2026-02-01 14:33:41,878 | INFO | User:17 | Endpoint: login | Method: POST | Status: 302 | Duration: 0.7716s
2026-02-01 14:33:42,555 | INFO | User:17 | Endpoint: dashboard | Method: GET | Status: 302 | Duration: 0.5235s
2026-02-01 14:50:03,766 | INFO | User:17 | Endpoint: login | Method: GET | Status: 200 | Duration: 0.5634s
2026-02-01 14:50:27,845 | INFO | User:17 | Endpoint: login | Method: POST | Status: 302 | Duration: 0.6840s
